date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:17:19	17355/17355	---MCZ	200	added ('OK')	text/html	etag:W/%224ba2a3370bc93641566b78a841b6c3db%22	https://jcinuniben-reg.vercel.app/communityaction.html	C:/My%20Web%20Sites/JCIN%20UNIBEN%20WEBSITE/jcinuniben-reg.vercel.app/communityaction.html	(from https://jcinuniben-reg.vercel.app/)
03:17:20	17095/17095	---MCZ	200	added ('OK')	text/html	etag:W/%22f36aaf093fa8957f655e273989f4d1a5%22	https://jcinuniben-reg.vercel.app/internationalcooperation.html	C:/My%20Web%20Sites/JCIN%20UNIBEN%20WEBSITE/jcinuniben-reg.vercel.app/internationalcooperation.html	(from https://jcinuniben-reg.vercel.app/)
03:17:21	18339/18339	---MCZ	200	added ('OK')	text/html	etag:W/%22e915491bbb467da9102cd61e0b426175%22	https://jcinuniben-reg.vercel.app/join.html	C:/My%20Web%20Sites/JCIN%20UNIBEN%20WEBSITE/jcinuniben-reg.vercel.app/join.html	(from https://jcinuniben-reg.vercel.app/)
03:17:22	19596/19596	---MCZ	200	added ('OK')	text/html	etag:W/%22e7bcc7187b3a43969afdda3ab5c7d556%22	https://jcinuniben-reg.vercel.app/contact.html	C:/My%20Web%20Sites/JCIN%20UNIBEN%20WEBSITE/jcinuniben-reg.vercel.app/contact.html	(from https://jcinuniben-reg.vercel.app/)
03:17:24	1996082/1996082	---M--	200	added ('OK')	image/webp	etag:%22f7c2a7af058c6e90412d0339231f9755%22	https://jcinuniben-reg.vercel.app/images1/ic1.webp	C:/My%20Web%20Sites/JCIN%20UNIBEN%20WEBSITE/jcinuniben-reg.vercel.app/images1/ic1.webp	(from https://jcinuniben-reg.vercel.app/)
03:17:25	423292/423292	---M--	200	added ('OK')	image/webp	etag:%229f522b7b83bcb0a49eff32b0c538c9e1%22	https://jcinuniben-reg.vercel.app/images1/ic9.webp	C:/My%20Web%20Sites/JCIN%20UNIBEN%20WEBSITE/jcinuniben-reg.vercel.app/images1/ic9.webp	(from https://jcinuniben-reg.vercel.app/)
03:17:26	678996/678996	---M--	200	added ('OK')	image/webp	etag:%220ee98bc9187e56cc2e85353f631a5ad2%22	https://jcinuniben-reg.vercel.app/images1/ee4.webp	C:/My%20Web%20Sites/JCIN%20UNIBEN%20WEBSITE/jcinuniben-reg.vercel.app/images1/ee4.webp	(from https://jcinuniben-reg.vercel.app/)
03:17:26	3739/3739	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2004%20Jul%202025%2002:17:29%20GMT	https://jcinuniben-reg.vercel.app/pd.html	C:/My%20Web%20Sites/JCIN%20UNIBEN%20WEBSITE/jcinuniben-reg.vercel.app/pd.14.delayed	(from https://jcinuniben-reg.vercel.app/)
03:17:28	716554/716554	---M--	200	added ('OK')	image/webp	etag:%223e8ae8feb66795475369f138d70cb397%22	https://jcinuniben-reg.vercel.app/images1/ee100.webp	C:/My%20Web%20Sites/JCIN%20UNIBEN%20WEBSITE/jcinuniben-reg.vercel.app/images1/ee100.webp	(from https://jcinuniben-reg.vercel.app/)
03:17:28	3739/3739	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2004%20Jul%202025%2002:17:31%20GMT	https://jcinuniben-reg.vercel.app/be.html	C:/My%20Web%20Sites/JCIN%20UNIBEN%20WEBSITE/jcinuniben-reg.vercel.app/be.16.delayed	(from https://jcinuniben-reg.vercel.app/)
03:17:30	743674/743674	---M--	200	added ('OK')	image/webp	etag:%2224c3e65bc788b7e8f57e0a08612b0003%22	https://jcinuniben-reg.vercel.app/images1/ee6.webp	C:/My%20Web%20Sites/JCIN%20UNIBEN%20WEBSITE/jcinuniben-reg.vercel.app/images1/ee6.webp	(from https://jcinuniben-reg.vercel.app/)
03:17:30	3739/3739	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2004%20Jul%202025%2002:17:33%20GMT	https://jcinuniben-reg.vercel.app/ca.html	C:/My%20Web%20Sites/JCIN%20UNIBEN%20WEBSITE/jcinuniben-reg.vercel.app/ca.18.delayed	(from https://jcinuniben-reg.vercel.app/)
03:17:32	67716/67716	---M--	200	added ('OK')	image/webp	etag:%222157155cab259614049b72f26116072a%22	https://jcinuniben-reg.vercel.app/images2/sca100.webp	C:/My%20Web%20Sites/JCIN%20UNIBEN%20WEBSITE/jcinuniben-reg.vercel.app/images2/sca100.webp	(from https://jcinuniben-reg.vercel.app/)
03:17:33	18206/18206	---M--	200	added ('OK')	image/webp	etag:%2289f46f7cac690ab3dc1b3efb7aee2efb%22	https://jcinuniben-reg.vercel.app/images2/ige.webp	C:/My%20Web%20Sites/JCIN%20UNIBEN%20WEBSITE/jcinuniben-reg.vercel.app/images2/ige.webp	(from https://jcinuniben-reg.vercel.app/)
03:17:34	315746/315746	---M--	200	added ('OK')	image/webp	etag:%22d0b0444149f9d5d7cdbb228b55b810c7%22	https://jcinuniben-reg.vercel.app/images2/odey.webp	C:/My%20Web%20Sites/JCIN%20UNIBEN%20WEBSITE/jcinuniben-reg.vercel.app/images2/odey.webp	(from https://jcinuniben-reg.vercel.app/)
03:17:35	26438/26438	---M--	200	added ('OK')	image/webp	etag:%221d0feda9f5cde531826dd676a10f7dd5%22	https://jcinuniben-reg.vercel.app/images1/noel.webp	C:/My%20Web%20Sites/JCIN%20UNIBEN%20WEBSITE/jcinuniben-reg.vercel.app/images1/noel.webp	(from https://jcinuniben-reg.vercel.app/)
03:17:36	16851/16851	---MCZ	200	added ('OK')	text/html	etag:W/%22da46f5274d77540747767df8bb3c182b%22	https://jcinuniben-reg.vercel.app/team.html	C:/My%20Web%20Sites/JCIN%20UNIBEN%20WEBSITE/jcinuniben-reg.vercel.app/team.html	(from https://jcinuniben-reg.vercel.app/)
03:17:38	9872/9872	---MCZ	200	added ('OK')	application/javascript	etag:W/%22faedac870b23163417712b34638129b3%22	https://jcinuniben-reg.vercel.app/main.js	C:/My%20Web%20Sites/JCIN%20UNIBEN%20WEBSITE/jcinuniben-reg.vercel.app/main.js	(from https://jcinuniben-reg.vercel.app/)
03:17:39	9359/9359	---MCZ	200	added ('OK')	text/css	etag:W/%229ee4f8925c532ab8768dc06d0e94795e%22	https://jcinuniben-reg.vercel.app/about.css	C:/My%20Web%20Sites/JCIN%20UNIBEN%20WEBSITE/jcinuniben-reg.vercel.app/about.css	(from https://jcinuniben-reg.vercel.app/about.html)
03:17:41	10808/10808	---MCZ	200	added ('OK')	text/css	etag:W/%22344203885332246de89d84b9be45ea3b%22	https://jcinuniben-reg.vercel.app/pd.css	C:/My%20Web%20Sites/JCIN%20UNIBEN%20WEBSITE/jcinuniben-reg.vercel.app/pd.css	(from https://jcinuniben-reg.vercel.app/personaldevelopment.html)
03:17:42	84666/84666	---M--	200	added ('OK')	image/webp	etag:%225a8586f03c51c89f2b2903759c72d10b%22	https://jcinuniben-reg.vercel.app/images2/pd4.webp	C:/My%20Web%20Sites/JCIN%20UNIBEN%20WEBSITE/jcinuniben-reg.vercel.app/images2/pd4.webp	(from https://jcinuniben-reg.vercel.app/personaldevelopment.html)
03:17:43	70414/70414	---M--	200	added ('OK')	image/webp	etag:%22da359b8bbe24f7aaed385d42ccc9f42c%22	https://jcinuniben-reg.vercel.app/images2/pd2.webp	C:/My%20Web%20Sites/JCIN%20UNIBEN%20WEBSITE/jcinuniben-reg.vercel.app/images2/pd2.webp	(from https://jcinuniben-reg.vercel.app/personaldevelopment.html)
03:17:44	87744/87744	---M--	200	added ('OK')	image/webp	etag:%22d39f32570f3c97b85443f295bfbf8d93%22	https://jcinuniben-reg.vercel.app/images2/pd5.webp	C:/My%20Web%20Sites/JCIN%20UNIBEN%20WEBSITE/jcinuniben-reg.vercel.app/images2/pd5.webp	(from https://jcinuniben-reg.vercel.app/personaldevelopment.html)
03:17:45	88473/88473	---M--	200	added ('OK')	image/jpeg	etag:%220c290c268b98b2b301ffaac5b76033f4%22	https://jcinuniben-reg.vercel.app/images2/pd3.jpg	C:/My%20Web%20Sites/JCIN%20UNIBEN%20WEBSITE/jcinuniben-reg.vercel.app/images2/pd3.jpg	(from https://jcinuniben-reg.vercel.app/personaldevelopment.html)
03:17:46	10831/10831	---MCZ	200	added ('OK')	text/css	etag:W/%220769ad6b79243ae3ead7013cc8201c37%22	https://jcinuniben-reg.vercel.app/be.css	C:/My%20Web%20Sites/JCIN%20UNIBEN%20WEBSITE/jcinuniben-reg.vercel.app/be.css	(from https://jcinuniben-reg.vercel.app/businessentrepreneurship.html)
03:17:48	734852/734852	---M--	200	added ('OK')	image/webp	etag:%221613e4140ce0e1ee90935a22eb38c017%22	https://jcinuniben-reg.vercel.app/images1/ee8.webp	C:/My%20Web%20Sites/JCIN%20UNIBEN%20WEBSITE/jcinuniben-reg.vercel.app/images1/ee8.webp	(from https://jcinuniben-reg.vercel.app/businessentrepreneurship.html)
03:17:49	859424/859424	---M--	200	added ('OK')	image/webp	etag:%228f594be3ed05dad38da099d5a7a52ddc%22	https://jcinuniben-reg.vercel.app/images1/ee3.webp	C:/My%20Web%20Sites/JCIN%20UNIBEN%20WEBSITE/jcinuniben-reg.vercel.app/images1/ee3.webp	(from https://jcinuniben-reg.vercel.app/businessentrepreneurship.html)
03:17:50	4555/4555	---MCZ	200	added ('OK')	text/css	etag:W/%2202c644b6ee853df88e90d060c67e2ad4%22	https://jcinuniben-reg.vercel.app/ca.css	C:/My%20Web%20Sites/JCIN%20UNIBEN%20WEBSITE/jcinuniben-reg.vercel.app/ca.css	(from https://jcinuniben-reg.vercel.app/communityaction.html)
03:17:51	102844/102844	---M--	200	added ('OK')	image/webp	etag:%22cdc172be09aaf7ea4ee067c0aa1613ae%22	https://jcinuniben-reg.vercel.app/images2/ca1.webp	C:/My%20Web%20Sites/JCIN%20UNIBEN%20WEBSITE/jcinuniben-reg.vercel.app/images2/ca1.webp	(from https://jcinuniben-reg.vercel.app/communityaction.html)
03:17:52	156748/156748	---M--	200	added ('OK')	image/webp	etag:%2288d102d9461cdf694fc693441bf65b35%22	https://jcinuniben-reg.vercel.app/images2/ca3.webp	C:/My%20Web%20Sites/JCIN%20UNIBEN%20WEBSITE/jcinuniben-reg.vercel.app/images2/ca3.webp	(from https://jcinuniben-reg.vercel.app/communityaction.html)
03:17:53	124110/124110	---M--	200	added ('OK')	image/webp	etag:%22e8fdb597a11eaae1d58932de03c03a0d%22	https://jcinuniben-reg.vercel.app/images2/ca4.webp	C:/My%20Web%20Sites/JCIN%20UNIBEN%20WEBSITE/jcinuniben-reg.vercel.app/images2/ca4.webp	(from https://jcinuniben-reg.vercel.app/communityaction.html)
03:17:54	242198/242198	---M--	200	added ('OK')	image/webp	etag:%2275a2f7f2259b7053d22b6be9f78316cc%22	https://jcinuniben-reg.vercel.app/images2/ca10.webp	C:/My%20Web%20Sites/JCIN%20UNIBEN%20WEBSITE/jcinuniben-reg.vercel.app/images2/ca10.webp	(from https://jcinuniben-reg.vercel.app/communityaction.html)
03:17:55	4555/4555	---MCZ	200	added ('OK')	text/css	etag:W/%2202c644b6ee853df88e90d060c67e2ad4%22	https://jcinuniben-reg.vercel.app/ic.css	C:/My%20Web%20Sites/JCIN%20UNIBEN%20WEBSITE/jcinuniben-reg.vercel.app/ic.css	(from https://jcinuniben-reg.vercel.app/internationalcooperation.html)
03:17:57	1236238/1236238	---M--	200	added ('OK')	image/webp	etag:%22458c7280f7a3e4739222d986501ccb8b%22	https://jcinuniben-reg.vercel.app/images2/ic12.webp	C:/My%20Web%20Sites/JCIN%20UNIBEN%20WEBSITE/jcinuniben-reg.vercel.app/images2/ic12.webp	(from https://jcinuniben-reg.vercel.app/internationalcooperation.html)
03:17:58	7317/7317	---MCZ	200	added ('OK')	text/css	etag:W/%22552238abc6f357f692a6bb5fcdd8fa5b%22	https://jcinuniben-reg.vercel.app/join.css	C:/My%20Web%20Sites/JCIN%20UNIBEN%20WEBSITE/jcinuniben-reg.vercel.app/join.css	(from https://jcinuniben-reg.vercel.app/join.html)
03:17:59	8771/8771	---MCZ	200	added ('OK')	text/css	etag:W/%2267afc4d18f50c1ededbdd5f3b521079b%22	https://jcinuniben-reg.vercel.app/contact.css	C:/My%20Web%20Sites/JCIN%20UNIBEN%20WEBSITE/jcinuniben-reg.vercel.app/contact.css	(from https://jcinuniben-reg.vercel.app/contact.html)
03:18:01	238964/238964	---M--	200	added ('OK')	image/webp	etag:%22504edc84c0fc7b8d2fd6350a0d60660a%22	https://jcinuniben-reg.vercel.app/images2/ca5.webp	C:/My%20Web%20Sites/JCIN%20UNIBEN%20WEBSITE/jcinuniben-reg.vercel.app/images2/ca5.webp	(from https://jcinuniben-reg.vercel.app/about.css)
